grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_row_facts,number_other_constraints,number_other_facts,time,obj_value
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [1, 4, 7]], ['FACT', [2, 7, 7]], ['FACT', [7, 3, 3]], ['FACT', [7, 6, 5]], ['FACT', [7, 8, 4]], ['FACT', [8, 1, 7]]]","[['ROW', 7], ['COL', 4], ['COL', 7], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [7, 5, 7]]",4,6,1,2,1,1,0,0,0,2,1,3,3,0,1,0,1,3,3,3,2.531907081604004,6.62
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [2, 7, 7]], ['FACT', [6, 6, 3]], ['FACT', [7, 5, 7]], ['FACT', [8, 1, 7]]]","[['ROW', 6], ['COL', 7], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [6, 8, 7]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,3,3,2.4853711128234863,4.330000000000001
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [6, 8, 7]], ['FACT', [7, 4, 9]], ['FACT', [8, 0, 9]]]","[['ROW', 6], ['COL', 6], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [6, 7, 9]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,3,3,2.40580415725708,4.330000000000001
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [2, 2, 9]], ['FACT', [4, 3, 9]], ['FACT', [5, 8, 8]], ['FACT', [6, 7, 9]], ['FACT', [8, 0, 9]]]","[['ROW', 5], ['COL', 0], ['COL', 8], ['COL', 2], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 1, 9]]",8,6,4,3,1,1,0,0,0,3,4,1,5,0,0,0,1,1,7,5,2.3835418224334717,6.449999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [4, 3, 9]], ['FACT', [5, 1, 9]], ['FACT', [6, 7, 9]]]","[['ROW', 3], ['COL', 7], ['COL', 6], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [3, 8, 9]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,2.153148651123047,4.23
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [2, 6, 2]], ['FACT', [4, 4, 2]], ['FACT', [5, 0, 3]], ['FACT', [5, 1, 9]], ['FACT', [8, 8, 2]]]","[['ROW', 5], ['COL', 8], ['COL', 2], ['COL', 6], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 7, 2]]",5,6,1,3,1,1,0,0,0,3,1,2,4,0,0,0,1,2,4,4,2.3347058296203613,6.5200000000000005
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 0 8 0 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [3, 0, 5]], ['FACT', [4, 4, 2]], ['FACT', [5, 7, 2]]]","[['ROW', 3], ['COL', 2], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [3, 1, 2]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,3,3,2.5060980319976807,4.330000000000001
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 0 8 0 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [1, 3, 2]], ['FACT', [3, 1, 2]], ['FACT', [4, 4, 2]], ['FACT', [7, 5, 7]], ['FACT', [8, 8, 2]]]","[['ROW', 7], ['COL', 5], ['COL', 2], ['COL', 1], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [7, 0, 2]]",8,6,4,3,1,1,0,0,0,3,4,1,5,0,0,0,1,1,7,5,2.150259017944336,6.449999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 0 8 0 3 9 7]
 [2 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [1, 3, 2]], ['FACT', [4, 4, 2]], ['FACT', [7, 0, 2]], ['FACT', [8, 8, 2]]]","[['ROW', 6], ['COL', 4], ['COL', 3], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [6, 5, 2]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,1.9463186264038086,4.23
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 0 8 2 3 9 7]
 [2 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [2, 1, 8]], ['FACT', [6, 4, 8]], ['FACT', [7, 0, 2]], ['FACT', [8, 7, 8]]]","[['ROW', 7], ['COL', 1], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 2, 8]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,3,3,2.498872995376587,4.330000000000001
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 0 0 0 9]
 [0 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 0 8 2 3 9 7]
 [2 6 8 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 3, 8]], ['FACT', [2, 1, 8]], ['FACT', [3, 0, 5]], ['FACT', [5, 8, 8]], ['FACT', [6, 4, 8]], ['FACT', [7, 2, 8]]]","[['ROW', 3], ['COL', 4], ['COL', 3], ['COL', 0], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[0, 0], [3, 3]]]]","['DERIVED', [3, 5, 8]]",8,6,4,3,1,1,0,0,0,3,4,1,5,0,0,0,1,1,7,5,2.572598695755005,6.449999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 0 0 9]
 [0 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 0 8 2 3 9 7]
 [2 6 8 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [2, 1, 8]], ['FACT', [3, 5, 8]], ['FACT', [5, 8, 8]], ['FACT', [7, 2, 8]]]","[['ROW', 4], ['COL', 2], ['COL', 1], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [4, 0, 8]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,1.595283031463623,4.23
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 0 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 0 8 2 3 9 7]
 [2 6 8 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [2, 4, 6]], ['FACT', [6, 5, 2]], ['FACT', [6, 6, 3]], ['FACT', [6, 7, 9]], ['FACT', [7, 1, 6]]]","[['ROW', 6], ['COL', 4], ['COL', 8], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [6, 3, 6]]",4,6,1,2,1,1,0,0,0,2,1,3,3,0,1,0,1,3,3,3,2.6645467281341553,6.62
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 0 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [6, 3, 6]], ['FACT', [7, 1, 6]], ['FACT', [8, 7, 8]]]","[['ROW', 8], ['COL', 8], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 6, 6]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,3,3,1.9481074810028076,4.330000000000001
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 0 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 0 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 0 4]
 [9 7 3 0 4 5 6 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [2, 0, 1]], ['FACT', [4, 1, 1]], ['FACT', [6, 3, 6]], ['FACT', [6, 5, 2]], ['FACT', [6, 6, 3]], ['FACT', [6, 7, 9]], ['FACT', [6, 8, 7]]]","[['ROW', 6], ['COL', 4], ['COL', 0], ['COL', 1]]","['DERIVED', [6, 2, 1]]",4,8,0,3,1,1,0,0,0,3,0,5,3,0,0,0,1,5,3,3,6.746791124343872,8.809999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 0 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [0 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 0 4]
 [9 7 3 0 4 5 6 8 2]]","[['FACT', [0, 1, 4]], ['FACT', [6, 2, 1]], ['FACT', [7, 8, 4]], ['FACT', [8, 4, 4]]]","[['ROW', 6], ['COL', 1], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [6, 0, 4]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,3,3,1.9565351009368896,4.330000000000001
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 0 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 0 4]
 [9 7 3 0 4 5 6 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [6, 2, 1]], ['FACT', [8, 5, 5]], ['FACT', [8, 6, 6]], ['FACT', [8, 7, 8]], ['FACT', [8, 8, 2]]]","[['ROW', 8], ['COL', 4], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [8, 3, 1]]",3,6,1,1,1,1,0,0,0,1,1,4,2,0,1,0,1,4,2,2,3.722369432449341,6.62
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 0 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 0 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [1, 8, 1]], ['FACT', [6, 2, 1]], ['FACT', [7, 6, 5]], ['FACT', [8, 3, 1]]]","[['ROW', 7], ['COL', 8], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [7, 7, 1]]",4,4,2,1,1,1,0,0,0,1,2,1,3,0,1,0,1,1,3,3,1.03831148147583,4.330000000000001
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 0 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [1, 8, 1]], ['FACT', [3, 5, 8]], ['FACT', [4, 1, 1]], ['FACT', [7, 7, 1]], ['FACT', [8, 3, 1]]]","[['ROW', 3], ['COL', 5], ['COL', 7], ['COL', 8], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [3, 6, 1]]",8,6,4,3,1,1,0,0,0,3,4,1,5,0,0,0,1,1,7,5,1.3838257789611816,6.449999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 1 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 0 0 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [0, 4, 1]], ['FACT', [3, 6, 1]], ['FACT', [4, 1, 1]], ['FACT', [8, 3, 1]]]","[['ROW', 5], ['COL', 4], ['COL', 3], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [5, 5, 1]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,0.854083776473999,4.23
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 1 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 0 0 5 1 0 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [1, 0, 6]], ['FACT', [2, 4, 6]], ['FACT', [5, 5, 1]], ['FACT', [5, 7, 2]], ['FACT', [6, 3, 6]], ['FACT', [7, 1, 6]], ['FACT', [8, 6, 6]]]","[['ROW', 5], ['COL', 5], ['COL', 7], ['COL', 0], ['COL', 1], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 2, 6]]",11,8,6,4,1,1,0,0,0,4,6,2,6,0,0,0,1,2,10,6,1.9763565063476562,8.67
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 1 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 6 0 5 1 0 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [0, 1, 4]], ['FACT', [1, 7, 4]], ['FACT', [3, 3, 4]], ['FACT', [5, 2, 6]], ['FACT', [6, 0, 4]], ['FACT', [7, 8, 4]]]","[['ROW', 5], ['COL', 7], ['COL', 8], ['COL', 2], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [5, 6, 4]]",8,6,4,3,1,1,0,0,0,3,4,1,5,0,0,0,1,1,7,5,2.665987014770508,6.449999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 1 0 9]
 [8 1 0 9 2 0 0 3 5]
 [3 9 6 0 5 1 4 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [0, 1, 4]], ['FACT', [3, 3, 4]], ['FACT', [5, 6, 4]], ['FACT', [6, 0, 4]]]","[['ROW', 4], ['COL', 0], ['COL', 1], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [4, 2, 4]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,1.5407254695892334,4.23
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 1 0 9]
 [8 1 4 9 2 0 0 3 5]
 [3 9 6 0 5 1 4 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [2, 4, 6]], ['FACT', [3, 5, 8]], ['FACT', [5, 2, 6]], ['FACT', [6, 3, 6]], ['FACT', [8, 6, 6]]]","[['ROW', 3], ['COL', 5], ['COL', 8], ['COL', 6], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [3, 7, 6]]",8,6,4,3,1,1,0,0,0,3,4,1,5,0,0,0,1,1,7,5,4.510439157485962,6.449999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 1 6 9]
 [8 1 4 9 2 0 0 3 5]
 [3 9 6 0 5 1 4 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [2, 4, 6]], ['FACT', [3, 7, 6]], ['FACT', [5, 2, 6]], ['FACT', [6, 3, 6]]]","[['ROW', 4], ['COL', 4], ['COL', 3], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [4, 5, 6]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,1.573749303817749,4.23
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 0 4 3 8 1 6 9]
 [8 1 4 9 2 6 0 3 5]
 [3 9 6 0 5 1 4 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [0, 0, 7]], ['FACT', [1, 4, 7]], ['FACT', [2, 7, 7]], ['FACT', [3, 3, 4]], ['FACT', [3, 6, 1]], ['FACT', [6, 8, 7]], ['FACT', [7, 5, 7]], ['FACT', [8, 1, 7]]]","[['ROW', 3], ['COL', 3], ['COL', 0], ['COL', 1], ['COL', 6], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [3, 2, 7]]",11,8,6,4,1,1,0,0,0,4,6,2,6,0,0,0,1,2,10,6,7.653127431869507,8.67
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 7 4 3 8 1 6 9]
 [8 1 4 9 2 6 0 3 5]
 [3 9 6 0 5 1 4 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [1, 4, 7]], ['FACT', [2, 7, 7]], ['FACT', [3, 2, 7]], ['FACT', [5, 6, 4]], ['FACT', [6, 8, 7]], ['FACT', [7, 5, 7]]]","[['ROW', 5], ['COL', 4], ['COL', 5], ['COL', 6], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[0, 6], [3, 9]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [5, 3, 7]]",8,6,4,3,1,1,0,0,0,3,4,1,5,0,0,0,1,1,7,5,2.0295066833496094,6.449999999999999
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 2 7 4 3 8 1 6 9]
 [8 1 4 9 2 6 0 3 5]
 [3 9 6 7 5 1 4 2 8]
 [4 5 1 6 8 2 3 9 7]
 [2 6 8 3 9 7 5 1 4]
 [9 7 3 1 4 5 6 8 2]]","[['FACT', [2, 7, 7]], ['FACT', [3, 2, 7]], ['FACT', [5, 3, 7]], ['FACT', [6, 8, 7]]]","[['ROW', 4], ['COL', 7], ['COL', 8], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[3, 3], [6, 6]]]]","['DERIVED', [4, 6, 7]]",5,4,2,2,1,1,0,0,0,2,2,0,4,0,0,0,1,0,4,4,0.45574235916137695,4.23
