,predicted,ground_truth,difference_df_relative,difference_df_abs
0,4.2299999999999995,4.2299999999999995,0.0,0.0
1,4.430000000000001,4.430000000000001,0.0,0.0
2,6.52,6.52,0.0,0.0
3,4.33,4.33,0.0,0.0
4,8.84,8.84,0.0,0.0
5,4.2299999999999995,4.2299999999999995,0.0,0.0
6,6.52,6.52,0.0,0.0
7,6.619999999999999,6.619999999999999,0.0,0.0
8,6.619999999999999,6.619999999999999,0.0,0.0
9,8.94,8.94,0.0,0.0
10,4.33,4.33,0.0,0.0
11,8.94,8.94,0.0,0.0
12,6.55,6.55,0.0,0.0
13,4.2299999999999995,4.2299999999999995,0.0,0.0
14,4.33,4.33,0.0,0.0
15,4.2299999999999995,4.2299999999999995,0.0,0.0
16,4.430000000000001,4.430000000000001,0.0,0.0
17,25.43,9.01,1.8224195338512765,16.42
18,113.42999999999999,113.42999999999999,0.0,0.0
19,422.61,422.61,0.0,0.0
20,715.84,715.84,0.0,0.0
21,414.81,414.13,0.0016419964745369975,0.6800000000000068
22,6.72,6.72,0.0,0.0
23,4.33,4.33,0.0,0.0
24,6.52,6.52,0.0,0.0
25,4.33,4.33,0.0,0.0
26,4.2299999999999995,4.2299999999999995,0.0,0.0
27,4.430000000000001,4.430000000000001,0.0,0.0
28,6.619999999999999,6.619999999999999,0.0,0.0
29,4.33,4.33,0.0,0.0
30,4.33,4.33,0.0,0.0
31,6.449999999999999,6.449999999999999,0.0,0.0
32,4.2299999999999995,4.2299999999999995,0.0,0.0
33,6.52,6.52,0.0,0.0
34,4.33,4.33,0.0,0.0
35,6.449999999999999,6.449999999999999,0.0,0.0
36,4.2299999999999995,4.2299999999999995,0.0,0.0
37,4.33,4.33,0.0,0.0
38,6.449999999999999,6.449999999999999,0.0,0.0
39,4.2299999999999995,4.2299999999999995,0.0,0.0
40,6.619999999999999,6.619999999999999,0.0,0.0
41,4.33,4.33,0.0,0.0
42,212.42,8.809999999999999,23.111237230419977,203.60999999999999
43,4.33,4.33,0.0,0.0
44,6.619999999999999,6.619999999999999,0.0,0.0
45,4.33,4.33,0.0,0.0
46,6.449999999999999,6.449999999999999,0.0,0.0
47,4.2299999999999995,4.2299999999999995,0.0,0.0
48,8.67,8.67,0.0,0.0
49,6.449999999999999,6.449999999999999,0.0,0.0
50,4.2299999999999995,4.2299999999999995,0.0,0.0
51,6.449999999999999,6.449999999999999,0.0,0.0
52,4.2299999999999995,4.2299999999999995,0.0,0.0
53,8.67,8.67,0.0,0.0
54,6.449999999999999,6.449999999999999,0.0,0.0
55,4.2299999999999995,4.2299999999999995,0.0,0.0
